SET_NAME,YEAR,THEME,UNIQUE_PARTS,TOTAL_PARTS,UNIQUENESS
Attack on Lake-town,2014,The Battle of the Five Armies,6,148,0.040541
Manual Level Crossing,1996,9V,1,61,0.016393
Helicopter,1987,Airport,0,17,0.000000
Kraang Lab Escape,2013,Teenage Mutant Ninja Turtles,2,56,0.035714
Particle Ionizer,1990,M:Tron,0,106,0.000000
Passenger Wagon Blue (White Box),2002,My Own Train,0,40,0.000000
Kellogg's Promotional Set: Plane,1998,Basic Model,0,13,0.000000
NHL Action Set with Stickers,2003,Hockey,0,32,0.000000
Airport Building Set,2011,Airport,0,123,0.000000
Ambulance,2012,Hospital,0,107,0.000000
Droid Developer Kit,1999,Star Wars,4,135,0.029630
TECHNIC Beams and Plates [Red],1987,Technic,0,6,0.000000
Crystal Hawk,2008,Mars Mission,0,18,0.000000
Krog,2015,Series 5,0,36,0.000000
FIRST LEGO League Challenge 2004 - No Limits,2004,FIRST LEGO League,1,126,0.007937
Hula Dancer - Complete Set,2011,Series 3 Minifigures,0,7,0.000000
Ice Bear Mech,2015,Legends of Chima,0,24,0.000000
Large red bucket,2002,Basic Set,0,89,0.000000
LEGO Special Edition Creative Building Tub,2006,Basic Set,0,124,0.000000
Polar Explorer,2000,Arctic,0,22,0.000000
Advent Calendar 1999 (Day 13) Hovercraft,1999,Advent Sub-Set,0,8,0.000000
Expedition Balloon,1999,Jungle,3,84,0.035714
Cole's Dragon,2016,Ninjago,2,58,0.034483
Worker Robot,2001,Life On Mars,0,34,0.000000
Vintage Minifigure Collection Vol. 4 - 2012 Edition,2012,Collectible Minifigures,0,20,0.000000
Better Building More Fun,2004,Basic Set,0,150,0.000000
Robot's Revenge,1998,Competition,0,61,0.000000
Motorized Bulldozer,2007,Construction,0,173,0.000000
LEGO Japan Spinning Top,2004,Other,0,8,0.000000
Fire Truck,2008,Fire,0,38,0.000000
Turahk - With mini CD-ROM,2003,Rahkshi,1,22,0.045455
Chicken & Chicks,2005,Easter,0,31,0.000000
LEGO® Star Wars™ Advent Calendar,2015,Star Wars,1,213,0.004695
Speedboat,2006,Creator,0,18,0.000000
Sweepz,2016,Series 9,0,36,0.000000
Open Freight Wagon (White Box),2002,My Own Train,0,26,0.000000
Nocturn,2007,Warriors,2,42,0.047619
Fairground Mixer,2014,Creator,0,499,0.000000
Fire Engine,1964,Fire,0,27,0.000000
Blast Off Chopper with Bungee Cord Power!,1998,Competition,0,33,0.000000
Crawler Tracks,1977,Service Packs,0,1,0.000000
Nuhvok,2002,Bohrok,0,20,0.000000
Brickmaster Star Wars,2011,Gear,0,86,0.000000
"Advent Calendar 2012, Star Wars (Day 5) - Trade Federation MTT",2012,Star Wars,0,8,0.000000
Airplane,2003,Airport,0,20,0.000000
Stunt Race Track,2002,Track System,2,65,0.030769
TECHNIC Control Center,1990,Universal Building Set,2,98,0.020408
Collectible Display Set 5 - San Diego Comic-Con 2009 Exclusive,2009,Star Wars Episode 4/5/6,0,16,0.000000
Spyder Slayer,1998,Competition,0,87,0.000000
Advent Calendar 2011 Star Wars (Day 23) - Christmas Tree,2011,Star Wars,0,13,0.000000
Bush,2001,Bulk Bricks,0,1,0.000000
Pony Grooming Kit,2016,Friends,0,21,0.000000
Bedroom,1985,Fabuland,0,12,0.000000
Bob's Workshop,2009,Duplo,4,12,0.333333
Advent Calendar 1998 Classic Basic (Day  8) Airplane,1998,Classic Basic,0,10,0.000000
Desert Ranger,1996,Off-Road,1,91,0.010989
Freestyle Elefant Villa,1996,Freestyle,0,55,0.000000
Sea Plane with Hut and Boat,1996,Recreation,1,84,0.011905
Geonosis Troopers,2015,Star Wars Expanded Universe,5,58,0.086207
Differentials,1998,Technic,0,3,0.000000
Flower Car,1985,Fabuland,0,16,0.000000
Snow Scooter,1986,Arctic Technic,0,36,0.000000
Mobile Crane (Train Base),1972,4.5V,0,15,0.000000
Technic Control Center,1987,Technic,6,126,0.047619
Advent Calendar 2009 City (Day  9) Traffic Light,2009,City,0,8,0.000000
"Gear Wheels Etc. / Gear Wheels, Worm Gears, Universal Joints and Gear Racks",1993,Technic,0,8,0.000000
Advent Calendar 2008 City (Day 24) Female and Snowman,2008,City,0,16,0.000000
Supplementary Set,1977,Expert Builder,0,38,0.000000
Freight Loading Depot with Wagon,1983,4.5V,1,94,0.010638
9V Battery Box,1992,Technic,0,1,0.000000
Tow Truck,1989,Duplo,1,4,0.250000
"Sloping Roof Bricks, Red",1958,Supplemental,0,2,0.000000
Shrunken Headquarters,2017,Nexo Knights,0,32,0.000000
Weetabix Promotional House 2,1976,Building,0,43,0.000000
Pneumatic Tubes and Pieces,1989,Technic,0,3,0.000000
Harbor Set,2011,Town,0,212,0.000000
Biplane,2015,Pick A Model,0,14,0.000000
Mars Science Laboratory Curiosity Rover,2014,LEGO Ideas and CUUSOO,0,110,0.000000
Sentai Fortress,2006,Exo-Force,1,310,0.003226
TECHNIC Universal Set,1982,Universal Building Set,0,54,0.000000
Christmas Tree,2002,Christmas,0,7,0.000000
Eagle Stunt Flyer,1996,Airport,1,46,0.021739
Trans Air Carrier,1990,Cargo,1,103,0.009709
Cargo Station,1978,4.5V,0,50,0.000000
Yellow Girder Beams & Plates,1982,Technic,0,6,0.000000
The Cannibal Escape,2011,Pirates of the Caribbean,9,120,0.075000
Blaze Brigade,1997,Fire,8,125,0.064000
Accessories Daisy,2004,Clikits,2,28,0.071429
1 x 4 Light Gray Bricks,2003,Bulk Bricks,0,1,0.000000
Windsurfer,1993,Recreation,0,16,0.000000
SURGE & ROCKA Combat Machine,2014,Heroes,1,75,0.013333
Shell Service Station,1983,Station,1,101,0.009901
Monthly Mini Model Build January 2017 - Narwhal,2017,Monthly Mini Model Build,0,31,0.000000
House Accessories - 182 elements,1985,Universal Building Set,2,45,0.044444
Tow Truck,1967,Traffic,0,25,0.000000
Cowboys,1976,Factory,0,22,0.000000
Checkered Flag 500,1992,Race,1,105,0.009524
TECHNIC Beams,2003,Technic,0,28,0.000000
Space Scooter,1979,Classic Space,0,18,0.000000
Tractor,1972,Factory,1,25,0.040000
Gungan Patrol,2000,Star Wars Episode 1,3,41,0.073171
2 x 2 Plates - Black (architectural hobby und modelbau version),1962,Architecture,0,3,0.000000
Mermaid - Complete Set,2013,Series 9 Minifigures,3,6,0.500000
Street Chase,2006,Tiny Turbos,0,88,0.000000
Mini Sports Car,2012,Creator,0,36,0.000000
Dino Head Attack,2000,Studios,0,57,0.000000
"Advent Calendar 2013, Friends (Day 16) - Skates with Flower in Snow",2013,Friends,0,12,0.000000
Wild Windup,2003,Inventor,3,127,0.023622
Kabaya Promotional Set: Yellow/Green (Swamp Craft) RoboRider,2000,RoboRiders,0,11,0.000000
Green City,2011,Mindstorms,0,242,0.000000
Highway Haulers,2006,Model,0,78,0.000000
Frightening Knight,2016,Series 15 Minifigures,5,10,0.500000
Samurai X,2012,Ninjago,6,23,0.260870
Harbor,2011,Harbor,0,221,0.000000
Typhoon Turbo Sub,2010,Atlantis,1,109,0.009174
Kitchen Set,1974,Homemaker,0,48,0.000000
9V Train Track Starter Collection,2006,9V,0,3,0.000000
Nexo Knights Intro Pack,2016,Nexo Knights,0,6,0.000000
Comic Book Guy,2015,The Simpsons,4,6,0.666667
Surge,2012,Heroes,2,29,0.068966
12V Diesel Locomotive with Crane and Tipper Wagon,1972,12V,0,39,0.000000
The Skating Princess,2007,Fairy-Tale,0,19,0.000000
Gears 8- and 10-Tooth,1994,Technic,0,2,0.000000
Punk Rocker - Complete Set,2011,Series 4 Minifigures,2,6,0.333333
40 Tooth Gears (Pack of 25),2002,Technic,0,1,0.000000
Emily Jones & the Baby Wind Dragon,2016,Elves,1,56,0.017857
Marina Bay Sands,2014,Architecture,1,64,0.015625
Nurse - Complete Set,2010,Series 1 Minifigures,3,8,0.375000
Razar’s CHI Raider,2013,Legends of Chima,1,164,0.006098
Lloyd Garmadon,2012,Ninjago,5,19,0.263158
Advent Calendar 1999 (Day  4) Girl,1999,Advent Sub-Set,0,7,0.000000
4x4 Agent Patrol,2015,Ultra Agents,3,166,0.018072
Expert Builder Power Pack,1982,Expert Builder,1,18,0.055556
Advent Calendar 2014 City (Day 16) Santa's Snowmobile,2014,City,0,7,0.000000
Ladies' Hairdressers,1977,Homemaker,0,51,0.000000
Adventurers Value Pack (TRU Exclusive),2001,Desert,1,1,1.000000
DC Comics Team Pack,2016,Dimensions,3,71,0.042254
Saucer Centurion,1994,Spyrius,0,79,0.000000
Bus Stop,1987,Fabuland,0,5,0.000000
Dimensions Starter Pack,2015,Dimensions,0,118,0.000000
Solo Sub,1998,Hydronauts,0,22,0.000000
TIE Defender,2010,Star Wars Other,0,75,0.000000
Fast Flyers,2007,Airport,0,139,0.000000
"LEGO Town Plan Board, UK / Australian Cardboard Version",1962,Town Plan,1,1,1.000000
Rock Raiders,1999,Rock Raiders,0,47,0.000000
Stunt Go-Cart,2001,Studios,0,17,0.000000
Easter Bunny with Eggs,2011,Easter,0,57,0.000000
Ferrari F138,2014,Promotional,2,31,0.064516
Monthly Mini Model Build June 2013 - Fisherman,2013,Monthly Mini Model Build,0,28,0.000000
Advent Calendar 2003 Creator (Day 23) Helicopter,2003,Creator,0,14,0.000000
Manual Level Crossing,1991,9V,0,51,0.000000
Mickey's Mansion,2000,Disney's Mickey Mouse,1,60,0.016667
Shell Fuel Tanker,1978,Station,1,36,0.027778
3 In 1 Car / Amphipower,1996,Traffic,1,185,0.005405
Mini Rocket Launcher,1999,Space Port,1,30,0.033333
Polaris I Space Lab,1987,Classic Space,0,103,0.000000
Wacky Witch,2015,Series 14 Minifigures,5,8,0.625000
Toy Soldier (Legoland California),2003,Legoland Parks,0,57,0.000000
Advent Calendar 1998 Classic Basic (Day 20) Helicopter,1998,Classic Basic,0,12,0.000000
Rotors and Bush/Cross Axles,1987,Technic,0,3,0.000000
Chase McCain,2012,Police,3,4,0.750000
Styling Pack,2000,Supplemental,0,62,0.000000
Enzo Ferrari 1:10,2005,Ferrari,1,160,0.006250
Crane Wagon with Small Container,1980,4.5V,0,45,0.000000
Evo,2012,Heroes,2,24,0.083333
Aeroplane,1964,Airport,0,11,0.000000
Small Red Helicopter (Polybag),2003,Designer Sets,0,20,0.000000
Computer Programmer - Complete Set,2012,Series 7 Minifigures,3,7,0.428571
Technology Activity Set,1994,Technic,17,102,0.166667
Advent Calendar 2007 Belville (Day 18) Teddy Bear,2007,Belville,0,5,0.000000
2 x 4 Red Plates,2000,Bulk Bricks,0,1,0.000000
Advent Calendar 2009 Pirates (Day 19) - Pirate,2009,Pirates,0,4,0.000000
2x2 Electrical Plate,2002,Bulk Bricks,0,1,0.000000
Monthly Mini Build September 2016 - School Bus,2016,Monthly Mini Model Build,0,40,0.000000
1 x 1 Round Bricks,1958,Supplemental,0,6,0.000000
Monthly Mini Model Build January 2014 - Snowplough,2014,Monthly Mini Model Build,0,23,0.000000
Police Helicopter ,2014,Police,0,35,0.000000
Decorated Elements,1987,Service Packs,0,18,0.000000
Raptor Escape,2015,Jurassic World,14,152,0.092105
Advent Calendar 2008 Castle  (Day 9) - Crossbow on Wheels,2008,Castle,0,6,0.000000
Police Cruiser,2001,Police,0,20,0.000000
NinjaCopter,2014,Ninjago,5,203,0.024631
Bunny And Garden,2015,Friends,0,16,0.000000
Kohrak-Kal,2003,Bohrok-Kal,2,21,0.095238
Fire Engine,2016,Fire,0,157,0.000000
Basic Red Bucket,2009,Basic Set,0,64,0.000000
The Emergency Room,2008,SpongeBob SquarePants,3,105,0.028571
Siesmo,2014,Series 1,0,25,0.000000
Flower Fairy Party [Purple/Silver Box],2004,Fairy-Tale,0,81,0.000000
Nui-Rama,2001,Rahi,0,43,0.000000
Circus Tiger Polybag,2013,Duplo,0,3,0.000000
Friends Character Encyclopedia,2014,Books,0,6,0.000000
Micro Kai's Fighter Jet,2015,Ninjago,0,10,0.000000
Bullet Run,2007,Tiny Turbos,1,246,0.004065
Adventurers Car & Skeleton,1998,Desert,0,52,0.000000
Female Minifigure Magnet Set,2010,Gear,1,18,0.055556
Advent Calendar 2011 City (Day  3) Police Officer with Handcuffs,2011,City,0,6,0.000000
Stormtrooper,2009,Star Wars Episode 4/5/6,0,6,0.000000
Advent Calendar 2014 City (Day 3) Snowman,2014,City,0,5,0.000000
One Light Bulb,1969,Supplemental,1,1,1.000000
Advent Calendar 2011 Star Wars (Day 11) - Battle Droid Pilot,2011,Star Wars,0,8,0.000000
Fire Station,2012,Duplo,2,45,0.044444
Transparent Bricks,2002,Bulk Bricks,0,1,0.000000
"Propellers, Wheels and Rotor Unit",1977,Service Packs,0,7,0.000000
Individual 1 x 6 x 4 Panorama Window (with glass),1954,Supplemental,0,4,0.000000
Antennas and Control Sticks,1998,Service Packs,0,19,0.000000
Droid Tri-Fighter,2014,Star Wars,4,73,0.054795
Imperial Cannon,1994,Pirates,0,30,0.000000
"Advent Calendar 2014, Friends (Day 6) - Ewa, Christmas Outfit",2014,Friends,1,4,0.250000
Adventure Time™,2016,LEGO Ideas and CUUSOO,7,177,0.039548
Ultimate Builders Set,2001,RCX,2,71,0.028169
"International Flags - Italy, Switzerland, Belgium, Germany, Netherlands",1961,Supplemental,0,5,0.000000
Basic Building Set Trial Size,1991,Basic Set,0,42,0.000000
Destructoid,2014,Ninjago,1,120,0.008333
Amusement Park Arcade,2016,Friends,1,91,0.010989
Mobile Lab,1980,Classic Space,0,52,0.000000
Ahkmou,2004,Matoran of Metru Nui,1,13,0.076923
Sterling Super Caravelle,1972,Airport,0,18,0.000000
Doc McStuffins Rosie the Ambulance,2015,Duplo,3,15,0.200000
Gears & Differentials,1997,Technic,0,10,0.000000
Spy Jet Escape,2011,Cars,5,169,0.029586
Battle on Takodana,2016,Star Wars Episode 7,3,121,0.024793
Mobile Crane,1979,Expert Builder,0,90,0.000000
EV3 Infrared Sensor,2013,EV3,0,1,0.000000
Identity and Landscape Kit,2010,Master Building Academy,2,163,0.012270
Connector Pegs / Connectorpegs,1987,Technic,0,2,0.000000
Advent Calendar 2005 Clikits  (Day 3) Necklace,2005,Clikits,0,4,0.000000
Rotor Head,1999,Classic Basic,1,8,0.125000
MB-01 Eagle Command Base,2007,Mars Mission,0,289,0.000000
Alien Defender,2011,Alien Conquest,1,60,0.016667
Shell Tow Truck,1981,Station,0,23,0.000000
X-Pod Play Off Game Pack,2004,X-Pod,2,2,1.000000
Senate Commando Troopers,2015,Star Wars Expanded Universe,5,53,0.094340
Cannons and Wheels,1995,Service Packs,0,5,0.000000
"LEGO Store Grand Opening Exclusive Set, Beachwood Place, Beachwood, OH",2011,LEGO Brand Store,0,3,0.000000
Electric Train Motor,1991,Train,0,2,0.000000
Yeti - Complete Set,2013,Series 11 Minifigures,3,5,0.600000
Fire Engine,1997,Fire,0,41,0.000000
Bandit's Secret Hide-Out,1996,Cowboys,2,132,0.015152
Firefighter's Lift Truck,2000,Fire,3,53,0.056604
Desert Challenge,2009,Tiny Turbos,0,83,0.000000
Beams (Yellow),1994,Technic,0,7,0.000000
Airliner,1994,Airport,0,16,0.000000
Advent Calendar 2000 (Day 18) Hovercraft,2000,Advent Sub-Set,0,8,0.000000
Speed Splash,1998,Extreme Team,0,22,0.000000
Clikits Bracelet Daisy,2004,Clikits,0,7,0.000000
Creative Bricks,2015,Basic Set,0,127,0.000000
Space Plane,1998,UFO,0,30,0.000000
Sir Adric,2006,Knights Kingdom II,4,20,0.200000
Basic Blue Bucket,2009,Basic Set,0,109,0.000000
Bane™ Fun Pack,2016,Dimensions,1,40,0.025000
Wakz' Pack Tracker,2013,Legends of Chima,1,141,0.007092
Hockey Player - Complete Set,2011,Series 4 Minifigures,4,10,0.400000
"LEGO Store Grand Opening Exclusive Set, Manchester, UK",2012,LEGO Brand Store,0,12,0.000000
Nuhvok Va,2002,Bohrok Va,0,18,0.000000
LEGO Duplo Building Set-71 pieces,2010,Basic Set,1,26,0.038462
Knight Tournament,2014,Duplo,0,11,0.000000
Fire Chief's Car,1978,Fire,1,15,0.066667
Farmer,2010,Farm,0,16,0.000000
Grapes - Hong Kong Lego Show Promotional,2007,Food & Drink,0,4,0.000000
1926 Renault,1975,Hobby Sets,0,48,0.000000
Basic Building Set Trial Size,1988,Basic,0,37,0.000000
Knights' Kingdom Value Pack 1 (with bonus water bottle),2004,Knights Kingdom II,0,1,0.000000
AT-AT Walker - Mini,2010,Star Wars Episode 4/5/6,0,38,0.000000
Sabre Tooth Tiger Pack,2015,Legends of Chima,7,53,0.132075
Turbo Chopper,2002,Airport,0,11,0.000000
The Grand Tournament Limited Edition Value Pack,2004,Knights Kingdom II,2,2,1.000000
Race Day,2012,Cars,4,17,0.235294
Red/Black Plates,1985,Technic,0,6,0.000000
Ricky Racoon on his Scooter,1979,Fabuland,0,2,0.000000
Weekend Home,1985,Building,1,67,0.014925
Ocean Explorer,2016,Creator,0,96,0.000000
Deep Sea Exploration Vessel,2015,Divers,1,319,0.003135
Red & Blue Player,2004,Hockey,0,25,0.000000
Tow Truck,2014,City,0,114,0.000000
Fright Knights Catapult Cart,1998,Fright Knights,0,20,0.000000
Advent Calendar 2000 (Day 14) Rhinocerous,2000,Advent Sub-Set,0,7,0.000000
Macku,2003,Matoran of Mata Nui,0,22,0.000000
Blue Sprinter,2009,Power Racers,0,57,0.000000
Evil Knight - Complete Set,2012,Series 7 Minifigures,4,8,0.500000
Dunkan Bulk,2010,Heroes,0,11,0.000000
" Spectre",2015,Series 14 Minifigures,3,7,0.428571
Storage Cloth (Spread Bag),1980,Supplemental,0,1,0.000000
Freight Steam Train,1983,12V,0,128,0.000000
Muscle Slammer Bike,2005,Power Racers,0,55,0.000000
Magnet Set Stormtrooper 2009,2009,Gear,0,15,0.000000
Mega Tack,1999,Insectoids,0,18,0.000000
Green Creative Box,2017,Classic,0,35,0.000000
Sabah Promotional Set: Whale,1997,Basic Model,0,6,0.000000
LEGO Friends Magazine Issue 'Friends on the beach' Polybag,2014,Friends,0,17,0.000000
Motorcycle Transport,1983,Traffic,0,33,0.000000
LEGO Digital Designer Promo,2009,Other,3,3,1.000000
Slammer Raptor,2002,Drome Racers,0,48,0.000000
Space Police Central,2010,Space Police III,4,256,0.015625
Storm Lasher,2008,Exo-Force,2,73,0.027397
Gas Station,1978,Building Set with People,0,67,0.000000
Minifigure Wedding Favor Set,2011,LEGO Brand Store,5,26,0.192308
Knights' Castle Wall,2004,Knights Kingdom II,0,73,0.000000
Cupcake Stall,2016,Friends,0,29,0.000000
Wild West Accessories,1999,Western ,0,29,0.000000
Excavator,2008,Construction,1,105,0.009524
Helicopter,2002,Airport,0,57,0.000000
12V Technic Motor,1979,Technic,0,1,0.000000
Star Quest,1989,Futuron,0,23,0.000000
Yellow Truck (Box version) - ANA Promotion,2003,Designer Sets,0,21,0.000000
Scala Kitchen,1997,Other,1,9,0.111111
Sabah Promotional Set: Airplane,1997,Basic Model,0,10,0.000000
LEGO Stores Easter Chick for 2004,2004,Easter,0,8,0.000000
Cars and Planes,1998,Freestyle,0,105,0.000000
Guardsman,1988,Basic Model,1,9,0.111111
"AT-AT, black box",2003,Star Wars Episode 4/5/6,0,196,0.000000
"23 sloping bricks, including roof peak bricks, Blue",1969,Supplemental,0,4,0.000000
Air Temple,2006,Avatar,7,155,0.045161
Americas Bus,2000,Soccer,0,58,0.000000
Play Ground,1987,Fabuland,0,16,0.000000
Black Bands (Pack of 50),2002,Service Packs,0,1,0.000000
Vahki Vorzakh Limited Edition with Movie Edition Vahi and Disk Of Time,2004,Vahki,0,20,0.000000
"LEGO Store Grand Re-Opening Exclusive Set (Colorado Mills, Denver, CO)",2012,LEGO Brand Store,10,12,0.833333
Airline Maintenance Vehicle with Trailer,1996,Airport,1,50,0.020000
9V Train Switching Track Collection,2006,9V,0,5,0.000000
Chill Speeder,2004,Mission Deep Freeze,5,44,0.113636
"Advent Calendar 2012, Star Wars (Day 8) - Vulture Droid",2012,Star Wars,0,7,0.000000
"LEGO Store Grand Opening Exclusive Set, Opry Mills, Nashville, TN",2012,LEGO Brand Store,3,15,0.200000
Police Headquarters,1976,Police,0,138,0.000000
Cannons,1993,Service Packs,0,3,0.000000
Danone Promotional Set: Girl,1998,Basic Model,0,8,0.000000
200 + 40 Special Elements,2007,Supplemental,0,71,0.000000
Moon Landing,1976,Space,0,61,0.000000
Highland Battler - Complete Set,2012,Series 6 Minifigures,4,7,0.571429
Yellow and Black Racer,2006,Tiny Turbos,0,17,0.000000
Bad Cop's Pursuit,2014,The LEGO Movie,0,150,0.000000
Toa Hordika Nuju,2005,Toa Hordika,2,27,0.074074
Stegosaurus,2008,Creature,0,163,0.000000
Crystal Explorer Sub,1995,Aquanauts,0,84,0.000000
Wave Racer,1990,Harbor,0,28,0.000000
Jedi Defense II,2002,Star Wars Episode 1,0,32,0.000000
Republic Frigate,2013,Star Wars Episode 1,0,27,0.000000
"Advent Calendar 2013, Star Wars (Day  8) - Republic Gunship",2013,Star Wars,0,14,0.000000
Vahki Keerakh Limited Edition with Movie Edition Vahi and Disk Of Time,2004,Vahki,0,20,0.000000
Island Hopper,2000,Dino Island,0,79,0.000000
2 x 2 Bricks,1958,Supplemental,0,6,0.000000
Fallingwater,2009,Architecture,1,63,0.015873
"Differential Gears / Universal Joint, Differential Housing and Wheels",1994,Technic,0,4,0.000000
2 x 2 Bricks (System),1966,Supplemental,0,6,0.000000
Stunt Truck,2017,Technic,1,51,0.019608
Small Blue Bucket,2002,Basic Set,0,103,0.000000
